title,artist
In Jesus Name (God Of Possible),Katy Nichole
My Jesus,Anne Wilson
Scars in Heaven,Casting Crowns
You Say,Lauren Daigle
Sunday Sermons,Anne Wilson
I Can Only Imagine,MercyMe
Promises (Radio Version),"Maverick City Music, Naomi Raine & Joe L Barnes"
Rescue,Lauren Daigle
Jesus Is Coming Back (feat. Mandisa & Jonathan Traylor),Jordan Feliz
Weary Traveler,Jordan St. Cyr
Same God (feat. Jonsal Barrientes),Elevation Worship
Goodness of God (Live),CeCe Winans
Heart of the Father,Ryan Ellis
House Of The Lord,Phil Wickham
I Speak Jesus (feat. Steven Musso),Charity Gayle
Promised Land,TobyMac
Walking Free,Micah Tyler
Hold On To Me,Lauren Daigle
RELATE,for KING & COUNTRY
My God Is Still the Same,Sanctus Real
The Commission (Band Version),CAIN
Holy Spirit Come,Patrick Mayberry
Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music
Gratitude,Brandon Lake
Nobody (feat. Matthew West),Casting Crowns
Heaven Help Me,Zach Williams
Battle Belongs,Phil Wickham
In The House,Crowder
There Was Jesus,Zach Williams & Dolly Parton
RATTLE! (Live),Elevation Worship
Too Good To Not Believe (Radio Version),Brandon Lake & Jenn Johnson
The Blessing (Live),"Kari Jobe, Cody Carnes & Elevation Worship"
Goodness of God (Live),Bethel Music & Jenn Johnson
Be Alright,"Evan Craft, Danny Gokey & Redimi2"
Oceans (Where Feet May Fail),Hillsong UNITED
Believe For It (Live),CeCe Winans
Look What You've Done,Tasha Layton
Know You Will,Hillsong UNITED & Benjamin Hastings
Weary Traveler,Jordan St. Cyr
Kiss Me,Sixpence None the Richer
God Only Knows,for KING & COUNTRY
Believe For It,CeCe Winans
What I See (feat. Chris Brown),Elevation Worship
Talking To Jesus (feat. Brandon Lake),Elevation Worship & Maverick City Music
What A Beautiful Name (Live),Hillsong Worship & Brooke Ligertwood
On Our Way (feat. Sam Wesley),MercyMe
Scars in Heaven,Casting Crowns
Graves into Gardens (Live),Elevation Worship & Brandon Lake
Less Like Me,Zach Williams
Wait On You (feat. Dante Bowe & Chandler Moore),Elevation Worship & Maverick City Music
Trust in You,Lauren Daigle
"God, Turn It Around (feat. Matt Maher) [Live]",Jon Reddick & Matt Maher
Raise a Hallelujah (Live),"Bethel Music, Jonathan David Helser & Melissa Helser"
Help Is On The Way (Maybe Midnight),TobyMac
Holy Water,We The Kingdom
Praise You In This Storm,Casting Crowns
Truth Be Told,Matthew West
For God Is With Us,for KING & COUNTRY
"Breathe (feat. Chandler Moore, Jonathan McReynolds, DOE & Mav City Gospel Choir) [Live Version]",Maverick City Music
Graves into Gardens (Live),Elevation Worship & Brandon Lake
"I Thank God (feat. Dante Bowe, Maryanne Joshua George & Aaron Moses)",Maverick City Music & UPPERROOM
Stand In Faith,Danny Gokey
Even If,MercyMe
Promised Land (Collab New),TobyMac & Sheryl Crow
See Me Through It,Brandon Heath
Look Up Child,Lauren Daigle
Who You Say I Am (Studio Version),Hillsong Worship
Waymaker (feat. Vanessa Campagna) [Radio Version],Michael W. Smith
Thank You Lord (feat. Thomas Rhett & Florida Georgia Line),Chris Tomlin
I Will Carry You (Radio Version),Ellie Holcomb
Come What May +,We Are Messengers & Cory Asbury
Crazy People,Casting Crowns
Miracle In The Works,Bryan & Katie Torwalt
"God, Turn It Around (Radio Version)",Jon Reddick
That's The Power (Live),Hillsong Worship & Benjamin Hastings
Heart of the Father,Ryan Ellis
Just Want to Praise You,Maurette Brown Clark
Thank You Jesus for the Blood,Charity Gayle
Speak To The Mountains,Chris McClarney
Eye of the Storm (feat. Gabe Real),Ryan Stevenson
Who You Say I Am (Live),Hillsong Worship & Brooke Ligertwood
Glorious Day (feat. Kristian Stanfill) [Live],Passion
Confidence,Sanctus Real
Way Maker (Live),Leeland
King of Kings,Hillsong Worship & Brooke Ligertwood
Until Grace,Tauren Wells & Rascal Flatts
River Of Life,Mac Powell
"Joy of the Lord (feat. Katie Torwalt, Naomi Raine, Dante Bowe & Mav City Gospel Choir)",Maverick City Music
O Come to the Altar (Live),Elevation Worship
The Blessing (feat. Cody Carnes) [Radio Version],Kari Jobe
Yes He Can,CAIN
Good God Almighty,Crowder
Firm Foundation (He Wonâ€™t),Cody Carnes
Egypt (Live),Bethel Music & Cory Asbury
joyful,Dante Bowe
House Of The Lord,Phil Wickham
Jesus Is Coming Back,Jordan Feliz
This Is Amazing Grace,Phil Wickham
Reckless Love,Cory Asbury
Living Hope,Phil Wickham
